title,content
Melanie was very clear and helpful,"Melanie was very clear and helpful and knew what questions to ask. She answered all of my questions, so it was easy to understand what I needed to know."
helpful rapid,
Excellent customer relations experience; above and beyond,"What made the experience great was the customer relations aspect especially given I called and emailed them NUMEROUS times. They were always courteous, prompt and exceptionally gracious and professional. Especially Kendall ... ask for Kendall!; awesome customer relations professional. Also did a lot of research over last couple of weeks, including numerous reviews and sites. No way I was going to go with Viking trip insurance again which we've used last trips ... definitely going to do third party vendor only from now on."
The person I spoke with on the phone,"The person I spoke with on the phone - Peter - listened well, and linked me up with the best travel insurance."
This site gave perfect comparisons on…,This site gave perfect comparisons on different options available and made the decision simple to make. Once a travel insurance policy was selected it was super easy to navigate to and purchase.
Kendall provided exceptional,"Kendall provided exceptional, timely, friendly service. Unusual to have that experience!"
Kendall was great!,"Kendall answered all my questions and discussed in detail 2 insurers. He was easy to talk to, was knowledgeable and thorough."
Get the policy right away,Get the policy right away. No hassle to shop and compare prices.
Agent was excellent,"The agent, George, was very efficient. Explained the preexisting condition waiver thoroughly and sent me the required paperwork within minutes."
Melony was very helpful in making our…,"Melony was very helpful in making our decision to purchase travel insurance, Destiny gave us the original quotes and I follow up with Melony who compared some policies and answered all of the questions I had."
Excellent Customer Service,"Both agents that I spoke with directly were extremely knowledgeable and helpful. Christianna and Kendall were so nice, provided excellent customer service and knowledge about the product and answered all my questions thoroughly. They made me feel very secure in my policy purchase."
This site was recommended to my by a…,"This site was recommended to my by a friend that does a fair amount of travel. I'm so happy I went with his recommendation.The staff was friendly, courteous, and professional and answered all of my questions. In addition the website was very easy to use."
Website simple and efficient,Website simple and efficient. I had several of your associates reach out to assist. Thank you.
Was easy to rent a car,"Was easy to rent a car, they have pictures and send you paperwork very quickly!!"
First time I used your services,"First time I used your services. Kendall was very, very helpful. Hope my trip is easy as Kendall was in making the trip insurance."
Yes Amanda answered all my questions,"Yes Amanda answered all my questions, signed me up for my travel insurance, very pleased."
It was very easy to navigate and find…,It was very easy to navigate and find what we needed.
Don was very courteus & professional.,
Ease of review of different companies…,Ease of review of different companies providing services.
I worked with Serenity B to purchase…,I worked with Serenity B to purchase our travel insurance for April 2025. She was very helpful in answering all my questions and quite pleasant to deal with.
Miranda was very helpful,Miranda was great for comparing options and getting us what we needed.
Received excellent service from George…,"Received excellent service from George and Kendal (sp). Knowledgeable, professional, thorough in information provided and questions answered."
What made my experience great was the…,What made my experience great was the customer service reps. Kendall P was very helpful and I would recommend him anytime.
Great online user interface,Very easy to review and select our policy. Good documentation.
Provides many options to meet my…,Provides many options to meet my specific needs. Competitive pricing.
She did an excellent job of explaining…,She did an excellent job of explaining ALL the various rates AFTER listening to what we wanted.... Price fits the coverage....
Very easy process and pleased with my…,Very easy process and pleased with my choice!
Informative agent,"The agent I spoke with, Kendall, was professional and informative."
Friendly representative,Friendly representative
Amazing Customer Service,"Amazing Customer Service
I had the pleasure to get a call from Kendall in Texas, who reached out to me after a failed payment issue online. What a great interaction. Kendall was thorough, polite, and well versed in all aspects of travel policies. I am thankful for companies who still have real people to talk to. I was able to complete my transaction and have a great conversation in between."
We dealt with Peter,"We dealt with Peter, we found him to be very helpful with direction and was kind and patient My husband and I both commented after the call that the experience was what you’d hope all customer service was like"
Super easy to use the website and…,Super easy to use the website and select a policy.
Jason was great,Jason was great! Super helpful and very professional. This is my 3rd time using Aardy and i will certainly be back!
Easy to compare and find coverage,Easy to compare and find coverage. Took maybe 5 minutes.
Great agents!,I first spoke to Lauren on the chat line and she was very informative and since I had additional questions she had an agent call me. I spoke with Shanna P and she was able to help compare policies. She is very knowledgeable and was able to give scenarios to help explain the different coverages which was great. We were able to purchase a policy that seems right for us.
all my questions were answered,all my questions were answered. Explanation of covered benefits were gone over and why certain coverage is recommended. Thank you Kendall for your knowledge and expertise with this transaction.
Christiana - a true professional,"Christiana was very informative and really helped clarify my choices. I found her friendly and easy to talk to. Having previously worked with insurance agents and policies, I was very impressed by her professionalism."
comparison of plan options,"The website provided an excellent summary of different plans available, easy compare function, chat was quick to respond and answer my questions."
Personalized service,Being able to connect with the same agent to discuss needs. Amanda’s follow up was very helpful.
Outstanding Service and Quality,"I bought your travel insurance the last couple of years and I find your company very reputable and your service representatives very polite, knowledgeable and business like. Shawna was GREAT!!!"
Kendall was very knowledgeable and…,Kendall was very knowledgeable and patient. He had a steady hand. Thank you.
No Upsale Here,The person who assisted us was very congenial and was interested in only what we needed and did not attempt any up-selling.
Great service from Denise,"Denise was friendly, honest, and helpful in answering my questions."
Great options to choose from,"Great options to choose from, affordable, and easy to purchase."
The entire process of obtaining…,The entire process of obtaining travel/medical insurance was quick and simple. Amanda was terrific to work with.
Ask for Miranda!,"Miranda helped me out so much with understanding the travel policy and also understanding how I can modify it down the road which is not even something I had considered. So, that helped me out tremendously with my budgeting! I am so happy that I called which, by the way, was a suggestion from the ""chat person"". Isn't it nice we can still do business talking to a real live (and nice) person"
Site was easy to use.,
Excellent services.,
EASY TO IDENTIFY THE COVERAGE I NEEDED,
Had a problem… representative was…,Had a problem… representative was helpful and pleasant on the phone.
veryeasytouse,the site is very easy to use
Destiny was great!,Destiny was very knowledgeable and helped answer my questions before we bought our policy.
Excellent Customer service,The most wonderful customer service experience from Kendall. He was very informative and knowledgeable about the product. He was easy to talk with. I enjoyed the conversation.
Excellent Customer Service,Everything was perfect. Jayson W was so helpful and a pleasure to work with . Great service and very knowledgeable. He explained everything and went above and beyond to help us pick the right insurance
The man who helped me(Randy),"The man who helped me(Randy), was very patient,kind and helpful. Purchased as you know."
Caroline H was very helpful.,
Very helpful agent Michael.,
Serenenti was thorough and answered all…,Serenenti was thorough and answered all of my questions. She was a great listener and well-informed. Now let's hope I don't ever have to test the actual insurance! Thanks.
Easy site to use.,"The site is very easy to use, and provides the coverage needed for our trip."
Sereneti was very helpful.,Sereneti was very helpful.
Very Helpful,Very prompt response time and knowledgeable on details of the policies. Appreciated the ability to compare numerous carriers/policies in this marketplace niche.
Good Advice,Good communications with a knowledgeable and friendly team member. Advised me of a significant coverage difference between the two programs which I was considering. Saved a lot of potential heartache as a result.
Telephone customer service was very friendly and helpful. …,Telephone customer service was very helpful and answered all my questions
Jayson was great and walked me through…,Jayson was great and walked me through the policy
i appreciate the thorough discussion i…,i appreciate the thorough discussion i had on the phone with the agent. They are the best....third time we have used your program. thank you
Simple,"Simple , and good rates . Thank you"
I spoke with Amanda last week,"I spoke with Amanda last week, and then Christiana today. Both were extremely helpful, taking the time to explain my options in detail, and answering all my questions. AARDY helped me save money, which is always a good thing! They both get 5 stars!"
Sereniti was a fantastic agent,Sereniti was a fantastic agent. She took the time to understand our needs and answer our questions. She was knowledgeable and extremely friendly. I would rate her 6 out of 5 stars if I could!
Clear advice from a live agent,Both Jason and Denise listened carefully to my questions and gave very clear answers. I compared their offerings with other companies and feel that AARDY's IMG policy is a good price for what we wanted. I appreciated being able to speak with a live person and will definitely return to AARDY in the future for travel health insurance.
very easy transaction,very easy transaction
I had various questions and Amanda your…,I had various questions and Amanda your representative had very clear answers.
the staff i had for my enquiries were…,the staff i had for my enquiries were very helptul and pleasant and also patient
Great Experience,Both Don and Caroline were very courteous and knowledgeable about the array of travel insurance options available through AARDY. They made the process of getting insurance easy and promptly answered all my questions
Ease of signing up for your insurance,"Ease of signing up for your insurance. We didn't have to use the insurance so can't speak to the coverage, claim paperwork and processing."
Kendall was very knowledgeable about…,"Kendall was very knowledgeable about the insurance, answered all questions and was easy to understand!"
Very competitive price,"Very competitive price, benefits appear to be very good."
Maranda was very helpful,Maranda was very helpful. This was our first time purchasing travel insurance. Enjoyed talking with her; knowledgeable and personable.
Peter was excellent to work with,Peter was excellent to work with. Very well informed and his explanations were very easy to understand. He is also very patient.
Dealing with Caroline was very…,"Dealing with Caroline was very informative, clear and easy! We chatted until I understood everything!"
Great Customer Service from Maranda,"Great Customer Service from Maranda (in Alabama).
She was very helpful & knew all the answers to my questions! She also booked my next travel insurance very quickly.
Thanks too, to Caroline, who initially helped me remotely & forwarded me on to Maranda.
As always, terrific service from AARDY - particularly on this Sunday!
Thank you both,
Michael"
Amanda was spot on,"Amanda was spot on! Sereniti took care of the details!

What a great time you have!

Cheers! Cathi"
Peter was incredibly helpful,"Peter was incredibly helpful. He took a great deal of time explaining g the medical coverages available and what would be best for our family.
He truly offered so much information and could not have been more patient and thorough."
Friendly and Helpful,"Very friendly and helpful service. Knowledgeable and answered questions while reviewing my options with me. This was the second time we used the service, and both times were good."
Better Travel Insurance for Cruise for less $$$,Our phone representative Kendall was very knowledgable about the trip insurance products offered by Aardy. He was able to answer all our specific questions about what was covered under different circumstances. We purchased travel insurance for 1/2 the cost of that offered by the cruise line with significantly better coverage.
Good Insurance Coverages with an omission,"There was no other Insurance Plan that suited my configurations. My Only concern is that after charging my card, I got no notice telling me when the policy would be active. I am sure others who have bought insurance from you would want to know that too."
Very easy to navigate and compare…,Very easy to navigate and compare options on line. Payment was easy to make and received the necessary documents in my email right away. I have spoken to Miranda in the past and she was very helpful answering my questions and was able to purchase a prior policy through her.
The price is right,"The price is right, the coverage is comprehensive, and it was easy to purchase a policy."
Good customer service.,
The two women that helped me were…,"The two women that helped me were absolutely great, friendly adept and efficient. I forgot to write their names down so I’m sorry I can’t mention.
Thank you!"
traveler,Very much satisfied with the service. The individual was very responsive to my concerns.
It was easy to get quote,
"Questions Answered, Policy Purchased",Amanda answered my initial questions I had about two trips occurring in September 2025 with two different companies but only two day apart in Europe. Also I would be traveling in four countries and the website only allows one country to be entered. She helped me select a policy and answered my questions about specific coverages. Very helpful.
Was very easy understanding what I was…,"Was very easy understanding what I was purchasing, hopefully I never use but I'm glad I have just in case."
Lauren and Amanda did a great job,"Lauren and Amanda did a great job! Their service was friendly, efficient and professional. They answered all of my questions in a timely manner

Frederic Kapanka"
I am a returning customer,"I am a returning customer. Nonetheless I always seem to have questions. I spoke with Felicia on the phone and she did an excellent job of assisting me.
I have recommended Aardy to several friends. All have been happy with ease of use, pricing, variety of policies and customer service."
Knowledgeable agent,Denise did an excellent job answering my questions.
Wonderful website and easy to use for…,Wonderful website and easy to use for an older person. Lauren was excellent and then I spoke to Amanda who was excellent as well. You should be proud to have them on your team.
Very knowledgable and answered all my…,Very knowledgable and answered all my questions.
It was all Amanda,"It was all Amanda! I'd called then hung up, as I wasn't ready and she called right back. She was so helpful and down-to-earth, like I was talking to a friend. She talked me through my options and I was thrilled with my choice. And it all happened in a timely manner. Amanda is a Keeper!"
Was able to choose travel insurance…,Was able to choose travel insurance that fit my personal needs.
No waiting to get a quote plus a…,No waiting to get a quote plus a policy. I love fast service - this company went far above the average!
Peter was very clear and concise,"Peter was very clear and concise, answering all my questions and providing additional information about coverage."
Excellent customer service,"The plans were well explained with one exception. You need a note that says if a couple have different citizenships , they need to get individual plans"
For all my questions I got…,"For all my questions I got answering,Very professional!"
Your representative Peter was…,Your representative Peter was fantastic. Very helpful and guided us thru the ins and outs of the policy that we chose. I had talked with him when we first were planning our trip and was impressed with how helpful he was so when I called back once we paid for our trip I asked specifically for him.
Amanda was extremely helpful and…,Amanda was extremely helpful and patient with my questions.
Good coverages at reasonable prices.,"Good coverages at reasonable prices.
Easily navigated website."
Customer Service,"Explained things well to me.
Polite
Answered all my questions"
Great Customer Service,"I talked with both Denise and then later Amanda, and both were very helpful in explaining the benefits, coverages and emails that I would receive."
Quality of communication with Amanda,
Customer Service,Great personal customer service.
The agent answered all of my questions…,The agent answered all of my questions patiently and clearly. I had a somewhat complicated issue because my travelers came from two different households.
Miranda was very knowledgeable,"Miranda was very knowledgeable, and easy to converse and deal with."
Denise gave us excellent service,Denise reviewed our travel insurance needs and helped us select the best and most affordable plan. She was courteous and extremely helpful.
Great Customer service,Great Customer service. Heñoed me finge the best cocerse available for my particular needs. Thanks Maranda
Denise was very prompt,"Denise was very prompt, courteous, and helpful.
She took all our information over the phone, provided a quote, and then signed us up."
We are leaving on a cruise in October…,We are leaving on a cruise in October ‘25- trying to get something that covers us in the event we need to cancel. Found this policy to do that and at a reasonable rate. Online experience and customer support has been great.
Very Happy,Both Peter and Don were extremely helpful. This is my second time using Aardy and I have been very happy with the service and agents.
Our name is Rich and Joan,Our name is Rich and Joan. We just purchased a travel policy for our up coming over seas trip. Our agents name was Denise. Denise was very polite and considerate. She was very knowledgeable and spoke clear English !!!!!
good customer service,
Professional and efficient.,Professional and efficient.
Amanda was knowledgeable and very…,Amanda was knowledgeable and very helpful
Many policy options,They gave me many options for my trip and answered all my questions thoroughly. The whole process was easy.
Miranda was just wonderfully helpful in…,"Miranda was just wonderfully helpful in choosing the right insurance for our travel.
She is kind, and thoughtful and really pleasant to work with."
It was easy to find the coverage I was…,It was easy to find the coverage I was looking for
Travel insurance,Easy to get a quote for travel insurance. Great benefits for a good price.
Knowledgeable rep… that is the most…,Knowledgeable rep… that is the most important quality in a salesperson when dealing with legalistic language and abstract coverage concepts. Also liked her ability to anticipate needs…that got the upsell on coverage limits. Great job.
Easy,"Easy .
Links worked well"
Being able to compare policies was very…,Being able to compare policies was very helpful to chose the best one for my needs.
Great customer service,"Great customer service, helpful and friendly!"
very knowledgable,
Associate was very helpful and answered…,Associate was very helpful and answered any questions we had. The system was streamlined and made purchasing insurance simple.
Agent Kendall was very helpful,"Agent Kendall was very helpful, professional, friendly and easy to understand."
Destiny was very knowledgeable and…,Destiny was very knowledgeable and friendly
Many options,I like the way you can view different policies.
Denise was absolutely wonderful working…,"Denise was absolutely wonderful working on an existing policy for a Kenya trip and originating another policy for my trip to Costa Rica. Extremely professional and personable. I can’t say enough about how wonderful she was assisting me
Lore Percival"
I appreciated having a comparison of…,I appreciated having a comparison of travel insurance companies.
Easy and efficient,Easy and. Efficient.
Quick and easy process to get insurance…,Quick and easy process to get insurance for an upcoming trip to Greece. Amanda was efficient and got me taken care of in record time.
Easy Experience,This was such an easy experience for me. Agent Peter was extremely informative and patient and kind. I will definitely work with Aardy for my next and all travel insurance plans in the future.
First time user.,Quick and easy to sign up.
Spoke with Amanda and she was very…,Spoke with Amanda and she was very knowledgeable and guided us to the plan she thought would be best for me and my husband.
Efficient,"Quick, within my budget; coverage clearly outlined"
Peter did a great job!,Peter did a great job! He was knowledgeable and thorough.
Peter was very helpful,"Peter was very helpful. He also spoke slowly and clearly, something that is hard to come by these days.

He walked us through the various options and answered any questions we had.

He made it very easy."
I was new to buying travel insurance so…,"I was new to buying travel insurance so I called and Amanda was able to answer all my questions and based on my unique needs recommended the best plan for me.
Thanks Amanda!"
Easy to use…,The site was easy to use and I could compare policies.
Really friendly and helpful when we…,Really friendly and helpful when we went through which policy was best for me. We ended up going with another policy after she explained to me based on the trip what would be most beneficial. And it was only $30 more than what was originally recommended.
Outstanding Customer Service,Lauren and Amanda made buying my last minute insurance very easy. I have used AARDY many times and have always had excellent customer.
The insurance specialist,"The insurance specialist, Maranda, was especially helpful. She was very knowledgeable about the various insurance options which were available to us and extremely patient in answering all my questions and concerns. She was the kind of representative that I wish all companies (with which I interact) had as an agent. She is a gem."
Easy and I can compare all the…,Easy and I can compare all the insurance companies and cost I want for my trip.
I was looking for travel insurance on…,"I was looking for travel insurance on line. AARDY seemed to have good prices for the insurance. Talked with Denise at AARDY. Denise was very helpful and was able to answer my questions guiding me to the best product for our trip. I also looked on line and found very positive reviews about AARDY.
Thank you"
I chatted with Christiana on the phone…,I chatted with Christiana on the phone and Katrina on internet chat. Both were very responsive and helpful. I appreciate outstanding custome service and they provided it.
Destiny was great,"Destiny was great. She explained clearly what my options were, and how best to protect myself and my family in the case of unforeseen events during my trip. I really appreciated having a group that understands the concerns of seniors still trotting the globe!"
Amanda and Christianna were awesome to work with.,Customer service representatives (Christianna & Amanda) were very helpful patient friendly and knowledgeable.
"Everything was efficient, professional, and timely.","Denise was efficient, helpful, and personable.
She has a smooth, clear voice for this work.
The quote seemed a reasonable one for needs the intended trip.
Everything was efficient, professional, and timely."
Kendall was great,"Kendall was great - knew the answers to all my questions, easy to deal with, found me a policy that gave me the medical coverage I wanted without paying for features I don't need. Highly recommended"
Amanda was the person who helped me…,"Amanda was the person who helped me today. She was professional, patient friendly and very knowledgeable in regards to the policy I purchased."
Agent super helpful,"Kendall P. Was great. He spent a lot of time explaining the terms and what might work best for me. Also, purchasing was made very easy"
Peter was very knowledgeable,Peter was very knowledgeable about the products and helped me determine the best coverage for the best price for my travel situation. No pressure and educated me about travel insurance. Much appreciated!
Destiny,Destiny did a great job!
Your Representative was very helpful…,Your Representative was very helpful and efficient. Resolved my issues
Peter is amazing!,"Peter is amazing! He was patient, kind and knowledgeable. He got me the perfect insurance plan for three months in Mexico. Totally affordable. Thank you, Peter …and Aardy. 🤗"
Lauren (online) and Destiny (by phone)…,Lauren (online) and Destiny (by phone) answered my questions clearly and were able to recommend a good policy for my travel. I am satisfied that I have purchased an excellent policy for my needs.
Agent (Denise) is very pleasant to talk…,"Agent (Denise) is very pleasant to talk to, very professional and answered all my questions"
Denise was ver knowledgeable and helpful,Denise was ver knowledgeable and helpful
Peter gave us very useful information…,"Peter gave us very useful information so we could choose the policy best for ourselves. We felt like
Ike valued customers"
Miranda was knowledgeable,"Miranda was knowledgeable, friendly, and very helpful, definitely made my cruise insurance search easy."
Made it very easy,
It was easy and quick,
"Easy, Painless, Fair","Such an easy, painless experience. The person who helped me was pleasant and able to answer all of my questions, and I had several. I’m very pleased with the coverage I obtained and the price you get it. Very fair."
Christianna was cheerful and patient…,"Christianna was cheerful and patient and I had lot of questions, never before having purchased trip insurance. She clearly knew her stuff and explained what I needed to know clearly. As someone who hates making phone calls and had put it off, I was totally pleased. She made it comfortable and got the job done."
I just purchased a travel insurance…,I just purchased a travel insurance policy. The website was easy to use and provided the information I needed.
So simple,So simple. Easy to use.And you get the best price. I highly recommend it.
Sereniti was very helpful,Sereniti was very helpful. Very easy and efficient to get a policy that fit.
AArdy employees are the best.…,I know that all insurance brokers have the same price for policies if it's the same company and benefits. The reason that I use AArdy over and over is because of the professionalism and kindness of their employees. Today I was lucky enough to speak to Denise who guided me through a complex insurance question. I left extremely satisfied.
Sereniti was very helpful in answering…,Sereniti was very helpful in answering all of our questions and making sure all of our insurance needs were addressed.
Meranda was very helpful,Meranda was very helpful. Easy purchase process.
AARDY is very easy to use,AARDY is very easy to use. We have used it for several trips and will continue to use it in the future.
Site listed numerous options to review…,Site listed numerous options to review and provided easy to visually see important criteria.
I travel a lot and it is really nice to…,I travel a lot and it is really nice to have one site who compares policies for me!
Travel insurance to Canada…,Destiny was very helpful when selecting a policy. She answered my questions to my satisfaction and was knowledgeable.
Quotes were readily available to review…,"Quotes were readily available to review and compare.

Amanda was a great help and answered our questions in a respectful, helpful, cheery, manner every time we called for clarification!!!"
It was a pleasure working with your…,"It was a pleasure working with your agent, Denise. After an introduction and explaining what I wanted Denise came up with two options. I asked if she could call me back the following day so I had time to make my flight reservations and consult with my husband. The phone rang exactly as we planned. I purchased the policy and immediately received my documents."
Excellent service!,
Great place to compare insurance policies,This site is very easy to compare different types of policies. Prices are reasonable for the coverage.
Simply the #1,
I used the chat option,I used the chat option. The person assisting me was quick and efficient. My questions were answered and I was able to select the policy I needed.
Quick easy communications with Shawna…,"Quick easy communications with Shawna easy pricing, but I mowed and getting it all on the computer. Something else for me. Thank you for your help."
First time planner,Christianna was extremely patient in answering my questions regarding travel insurance. This is my first time planning a trip to Italy and she guided me to a policy with my needs in mind. I look forward to our continued partnership.
Peter was an amazing representative,"Peter was an amazing representative. I was in a devastating situation regarding lack of cruise coverage. Peter was very polite and patient with me and found the best policy for my needs.
I am now at ease with going on my vacation, Thank you so much Peter."
GreatPeter made it great and effortlesd,"Peter made it great and effortless
A pleasure. Very professional, courteous and efficient.
I really appreciated his service."
Kudos to Rep Kendall,"So Far things have gone excellent. We have the policy but have yet to take the trip.
Called and spoke with Rep Kendall. Most helpful. Explained the details and reiterated them back and forth with me to fully understand the details."
Quick and complete shopping for travel insurance.,"I found all the information I needed online, and was easy to compare policies and price!"
Thank goodness for AARDY and Jason,"Thank goodness for AARDY and Jason! We have been fretting over what type of travel and related health insurance to purchase for our trip to visit family in Africa. After hours of searching online and checking out agencies that friends and family have used, we went to AARDY and wished we had searched with them weeks ago! The information was clear, concise and easy to understand but we wanted to talk with a human expert to verify our purchase was the right one to fit our needs. Jason was friendly, knowledgeable and answered all of our questions. After following his suggestions we purchased our travel insurance and feel confident in the decision. Thank you Jason!"
Peter,"Peter, your agent, explained details of each policy.
Clear, precise, professional."
Agent was very helpful when we were…,Agent was very helpful when we were talking about a plan that suited us best.
Peter R was extremely helpful,
Easy and fast.,"Easy and fast.
Had issues in 2020 and the insurance was a life saver."
Friendly helpful,
Shanna is very knowledgeable and…,Shanna is very knowledgeable and organized. great to talk to.
Very helpful over the phone,"Very helpful over the phone, nice to talk to, fast an efficient, thank you Shanna!"
Don and Jayson did a fantastic job,Don and Jayson did a fantastic job. Thank you!
The representative,"The representative, Destiny, was wonderful. I had FIVE policies to purchase, she was very gracious, patient, and easy to work with!!!! Thank you!!!"
Your rep,"Your rep, Kendal, did a very good job."
I had an excellent experience with…,"I had an excellent experience with Leticia! She was incredibly helpful, answering all of my questions with clarity and thoroughness. What really stood out was her patience; as I was gathering the information she needed, she was understanding and never made me feel rushed. Leticia’s professionalism and kindness made the entire process smooth and stress-free. I truly appreciate how dedicated she was to assisting me and ensuring I had everything I needed. A fantastic experience overall—thank you, Leticia!"""
Easy to understand plus great rate,Easy to understand plus great rate. All information was prompt and easily downloaded.
Was a great experience,Was a great experience
Travel insurance options,Reasonable pricing. No frills. Non complicated booking process. Aardy lists the options together with the offered benefits and pricing in a menu format. No secrets.
Falica and Shannah were both very…,Falica and Shannah were both very helpful and patient in explaining the policy.
I found a quote on your web page,"I found a quote on your web page, scrolling past other companies. The one I chose was listed as ""Aardy Insurance."" I filled in the boxes and paid for it. The confirmation email to my surprise said I'd paid for IMG Insurance, which I was avoiding based on poor reviews. It never said it was IMG insurance - it called it Aardy Insurance, which had good reviews. There were other listings for IMG among other companies but the one I chose said Aardy Insurance. This never should have happened."
Don was great and patient,"Don was great and patient, going over my options and what they all entailed. I'll recommend you to others!"
Easy to get the quote,
Easy Affordable Health Coverage for Foreign Travel,Destiny made it very easy for me to get health coverage for an upcoming trip out of the country.
Very easy,"Very easy, good information"
Excellent site and I feel very good about my choice!,The website was easy to use and I chatted online with Christiana first. Miranda then called me and explained her recommended travel policy for my needs. It was perfect for us! Miranda signed us up and we're very much looking forward to our cruise protected by IMG.
Maranda was amazing she answered all of…,Maranda was amazing she answered all of my questions and even provided a plan that was less expensive than the plan I was exploring and the plan she offered provide more complete coverage. She was professional and knowledgeable .
Easy Peasy,"I was working with a gentleman named Peter. He was professional, knowledgeable, and most of all, patient!! He answered all of my questions and addressed all of my concerns."
Both Agents helpful,"Both Agents, Peter and Maranda that I spoke to were helpful and seemed very knowledgeable. Thank you for your help."
Fast and easy with good options.,
Continuing to do a very satisfactory job.,"This is the third time I've used AARDY.
I like them, they're courteous, very good prices, I always Google for insurance and they seem to be the best I find every time. As long as I have good experiences with them I will continue to reach out to them whenever I need travel insurance."
Great because Jason was my agent,"Great because Jason was my agent. He’s very knowledgeable, communicates and explains well, covers all bases of a policy, and very personable. Exceptional service"
Melanie was great and listened to…,Melanie was great and listened to exactly what I needed in a package. Thanks for being so helpful.
I accidentally purchased this product…,I accidentally purchased this product and was almost immediately refunded after contacting the company. Thank you for not taking advantage of me and not giving me the run around.
Very helpful agent,"Very helpful agent, Destiny, who answered all my questions and helped me purchase the right packages for my family."
Straight forward and easy to use.,
Will use AARDY always in the future,"We called to further understand our choices. Shawna was incredibly cheerful, knowledgeable and patient. Because of her, I know we made the right choice of plans and will always use AARDY in the future."
Great customer service!,"On the phone, Destiny answered all of my questions and made it easy to sign up for a policy. Very good service!"
That they have the coverage they requested for their cruise,We hope to have a safe and relaxing trip with our friends and the ones we meet.
Great people and very helpful,Great people and very helpful. I wish I could remember their names as I spoke with two people that were great
Ease of use and number of available…,Ease of use and number of available options.
FIRST TIME BUYING TRAVEL INSURANCE,"TODAY, I SPOKE WITH AMANDA AND DENISE BOTH REFERENCE GETTING TRAVEL INSURANCE. BOTH WERE VERY HELPFUL AND KNOWLEDGEABLE ABOUT WHAT I NEEDED AND ANSWERED ALL THE QUESTIONS I HAD CONCERNING GETTING INSURANCE FOR OUR TRIP. I HAD NEVER BOUGHT TRAVEL INSURANCE BEFORE, AND THEY MADE IT EASY FOR ME."
Excellent Customer Service,The agent Amanda was very helpful and answered all our questions.
I would like to thank Maranda for…,"I would like to thank Maranda for answering all my questions. I had a lot of questions to ask . She was very helpful!

Sincerely,
Thea"
An easy way to buy travel insurance,An easy way to buy travel insurance. The site gives you many options of insurance policy costs from various insurance carriers depending on your input about the trip you are planning.
Aardy is my go to for flight insurance,"Aardy is my go to for flight insurance. I wish they have discount for returning client.Denise is very pleasant, answered all my questions and concern. I had been recommending aardy to my friends."
Holiday Insurance.,Easy to navigate website. Ample options and great chat service.
Obtained a fast free quote that was…,Obtained a fast free quote that was reasonably priced and had coverage I needed. Hopefully will not have to use but good feeling I am covered at a reasonable price
Great experience!!,
I was very impressed with the support…,I was very impressed with the support your staff gave me. They were very knowledgeable and came to my aid quickly and effectively
Christiana gave us a clear view of the…,Christiana gave us a clear view of the insurance. She answered all of our questions and was delightful to deal with.
Prompt service from knowledgeable agent,"Amanda was wonderful to work with. She listened to my concerns, offered a valuable product and assisted each and every traveler in my group with their purchase. Thank you."
The representative Sereneti was so…,The representative Sereneti was so knowledgeable and professional it was a pleasure working with her. She is an asset to your company.
Maranda was extremely helpful,"Maranda was extremely helpful; very professional yet friendly, she answered all my questions & provided me with the options I needed to make a travel insurance choice."
Easy to understand,Denise was GREAT !
First time using AARDY but it won’t be my last.,"First time using AARDY but it won’t be my last! Jason was extremely polite, knowledgeable and friendly to deal with. He answered all questions clearly and succinctly."
Medical and Cancellation Insurance for Ski Trip to Europe,"I was very impressed with the knowledge and professionalism of Denise Weir. I was able to buy travel insurance for my upcoming ski trip to Europe that included trip cancellation, medical and hospitalization, and medical evacuation back to the US, if needed. This was additionally at a more affordable price than I was quoted elsewhere. Joe K"
Friendly agent who explained the…,Friendly agent who explained the differences in policies well.
Very competent representative,
Peter was very helpful,"Peter was very helpful, explained the policy and was able to answer all my questions"
Un-Rushed ~ Efficient ~ Knowledgable,"My experience went very smoothly. I appreciated Denise W's un-rushed manner when answering questions, explaining terms and various options."
She performed her duties quickly and was easy to understand.,"very professional ""agent""."
The process from start to finish was…quick and easy,The process from start to finish was quick and explainded very well.
Special need request,Jason went above and beyond to be sure the policy I got met the needs of myself and my traveling companion. I needed insurance in case I had to cancel because of my pet and he made sure I was in the right policy. He did a great job.
Amanda was great in helping me,Amanda was great in helping me. She was patient and explained everything. Great customer service
She was very knowledgeable and was able…,She was very knowledgeable and was able to answer all my questions
Appreciate the chat feature to explain…,Appreciate the chat feature to explain some of the technical jargon. Like that I can compare plans
Hi Christiana,"Hi Christiana, thank you again for your kindness!"
So far so good,"So far so good. My first experience with travel insurance. I dislike giving reviews at the beginning of services. However, the intial portion was handled professionally, and it appears clearly and honestly. My hope is it continues until the end of our contract."
Professional and helpful.,
I had lots of question and Denise…,I had lots of question and Denise answered every one. She was thorough and patient.
AARDY Review for Acquiring Trip Cancellation Insurance.,Miranda and Melanie were terrific to work with. Very detailed and knowledgeable in answering my wife's and my questions. Worked with me closely to insure that I purchased the appropriate trip cancellation policy correctly.
Put up with a number of calls from me…,"Put up with a number of calls from me and answered all of my questions.
Don"
Amanda was amazing,Amanda was amazing. She was able to answer questions and make great suggestions regarding our cruise insurance. I purchased two policies. The entire process was easy. The insurance plan was affordable and now we are ready for our worry free vacation.
